-233	-20	1
-221	-45	1
-206	-69	1
-190	-88	1
-173	-111	1
-150	-126	1
-128	-140	1
-101	-151	1
-76	-159	1
-55	-163	1
-242	3	1
-254	30	1
-260	57	1
-260	82	1
-260	109	1
-254	136	1
-248	161	1
-235	184	1
-225	205	1
-213	221	1
-198	242	1
-182	255	1
-167	271	1
-150	284	1
-132	296	1
-109	309	1
-88	319	1
-63	325	1
-36	330	1
-11	332	1
6	332	1
28	330	1
53	325	1
78	317	1
99	309	1
122	300	1
145	282	1
163	267	1
182	253	1
-32	-171	1
-3	-173	1
22	-171	1
45	-167	1
70	-159	1
93	-148	1
114	-142	1
132	-130	1
145	-121	1
170	-99	1
155	-113	1
184	-88	1
193	-72	1
203	-55	1
215	-34	1
226	-17	1
236	9	1
197	232	1
207	213	1
217	194	1
230	174	1
234	149	1
240	130	1
245	109	1
245	80	1
247	51	1
240	24	1
-314	-242	1
-315	-223	1
-298	-254	1
-279	-263	1
-260	-275	1
-240	-283	1
-215	-292	1
-209	-273	1
-209	-252	1
-209	-234	1
-206	-209	1
-209	-182	1
-208	-155	1
-208	-132	1
-211	-111	1
-315	-205	1
-317	-182	1
-317	-165	1
-317	-146	1
-317	-121	1
-317	-101	1
-317	-80	1
-317	-61	1
-298	-67	1
-283	-74	1
-265	-80	1
-250	-86	1
-235	-96	1
-219	-99	1
203	-290	1
203	-265	1
203	-246	1
205	-227	1
203	-207	1
203	-192	1
201	-173	1
201	-155	1
203	-138	1
203	-121	1
201	-101	1
215	-96	1
232	-86	1
251	-76	1
265	-69	1
286	-57	1
307	-42	1
315	-232	1
311	-209	1
309	-190	1
311	-175	1
311	-157	1
311	-140	1
311	-121	1
311	-105	1
309	-88	1
309	-70	1
222	-283	1
234	-275	1
251	-267	1
271	-257	1
296	-244	1
-371	-67	1
-385	-67	1
-391	-55	1
-395	-40	1
-395	-20	1
-395	-5	1
-396	7	1
-398	20	1
-398	36	1
-389	47	1
-377	49	1
-369	-59	1
-369	-44	1
-369	-28	1
-371	-17	1
-371	3	1
-371	14	1
-373	28	1
361	-55	1
361	-36	1
361	-22	1
359	-3	1
359	14	1
359	34	1
359	57	1
373	61	1
384	55	1
384	37	1
386	22	1
386	7	1
386	-5	1
388	-20	1
373	-59	1
382	-57	1
388	-49	1
388	-40	1
-377	-259	1
-362	-267	1
-348	-281	1
-327	-290	1
-306	-304	1
-288	-313	1
-263	-325	1
-235	-338	1
-208	-348	1
-181	-354	1
-150	-364	1
-119	-369	1
-82	-373	1
-49	-375	1
-24	-377	1
1	-379	1
30	-379	1
60	-373	1
97	-367	1
128	-362	1
153	-356	1
182	-350	1
203	-340	1
232	-331	1
257	-319	1
278	-310	1
298	-296	1
321	-284	1
340	-271	1
357	-259	1
375	-248	1
375	-230	1
363	-227	1
363	-213	1
-381	-238	1
-369	-232	1
-371	-215	1
-369	-200	1
-369	-180	1
-371	-163	1
-371	-148	1
-371	-132	1
-369	-119	1
-371	-99	1
363	-192	1
363	-167	1
359	-146	1
361	-126	1
361	-107	1
361	-90	1
-385	-92	1
-396	-90	1
-406	-82	1
-412	-72	1
-420	-63	1
-420	-51	1
-420	-40	1
-421	-28	1
-421	-15	1
-421	-3	1
-421	9	1
-421	18	1
-421	34	1
-421	43	1
-420	57	1
-408	66	1
-398	68	1
-387	70	1
-377	70	1
361	80	1
371	82	1
382	86	1
394	82	1
400	70	1
402	55	1
405	41	1
405	26	1
405	14	1
405	-1	1
405	-17	1
405	-30	1
405	-44	1
402	-59	1
396	-70	1
386	-76	1
375	-82	1
-373	82	1
-375	95	1
-373	111	1
-375	128	1
-375	145	1
-375	163	1
-377	184	1
-377	203	1
-377	226	1
-377	244	1
-377	263	1
-377	280	1
-377	298	1
-377	313	1
-377	334	1
-377	352	1
-375	371	1
-373	386	1
-364	406	1
-352	421	1
-331	421	1
-304	423	1
-279	425	1
-250	425	1
-221	427	1
-186	427	1
-152	427	1
-117	427	1
-88	427	1
-53	425	1
-21	425	1
18	427	1
53	425	1
93	425	1
128	425	1
157	427	1
186	429	1
218	429	1
244	429	1
276	427	1
303	427	1
328	429	1
361	93	1
359	107	1
357	128	1
359	149	1
357	172	1
357	197	1
355	221	1
355	248	1
353	271	1
353	298	1
353	321	1
352	344	1
350	363	1
348	388	1
342	413	1
